ID,X,Y,Attribute 1,Attribute 2
0,428002,5092370,0.179995864,1
1,428289,5093610,0.716649937,1
2,427671,5091980,0.221023083,1
3,428343,5094330,0.574316621,1
4,428594,5095060,0.222275947,1
5,427925,5093190,0.363231375,1
6,428316,5094260,0.703343455,0
7,428313,5093970,0.632748655,1
8,428339,5094180,0.652397451,1
9,428302,5093860,0.117473475,1
10,427787,5092770,0.670687108,1
11,428156,5092880,0.911865023,1
12,428372,5093590,0.127872979,0
13,428202,5093610,0.648003287,1
14,428054,5092250,0.448598507,1
15,427677,5092180,0.485199584,1
16,427959,5093180,0.776738898,0
17,428027,5093170,0.666047594,0
18,428342,5094650,0.120192041,1
19,428393,5095080,0.743145651,1
20,428225,5094200,0.026507295,0
21,427905,5092990,0.931788509,0
22,428134,5093630,0.46225506,1
23,428115,5094200,0.110923253,0
24,428276,5094100,0.056330683,0
25,428596,5094970,0.588807506,1
26,428007,5093610,0.979701736,1
27,428249,5093090,0.741441235,1
28,428307,5093700,0.072851234,0
29,428611,5094880,0.256993043,1
30,428300,5094940,0.597908486,0
31,428131,5093350,0.324739916,0
32,428383,5094140,0.650994719,1
33,427840,5092950,0.215888599,0
34,427884,5092990,0.658852519,0
35,427845,5092740,0.189501808,0
36,428085,5094000,0.322356022,1
37,428524,5094630,0.984705945,0
38,428052,5093700,0.306308139,0
39,427913,5092260,0.400386497,0
40,428220,5092930,0.262382102,1
41,428213,5094260,0.952985211,1
42,428208,5093290,0.388928891,1
43,428451,5095070,0.997980357,1
44,428385,5093900,0.228732125,1
45,428267,5094920,0.091045603,1
46,427797,5092630,0.595849554,0
47,428070,5093410,0.357721687,0
48,428120,5094150,0.955044441,0
49,427578,5091960,0.082458525,0
50,428297,5094830,0.013661487,1
51,428042,5093460,0.227570633,0
52,428022,5092880,0.372021124,1
53,428024,5093010,0.883430779,1
54,428659,5095080,0.60993526,1
55,427675,5092270,0.527784998,1
56,428227,5094510,0.485055583,1
57,428256,5094860,0.515535202,1
58,427787,5092080,0.496160575,0
59,427581,5092000,0.16655303,1
60,428147,5092940,0.541025036,0
61,428122,5094220,0.91949929,0
62,428228,5093740,0.300985262,1
63,428305,5094630,0.30279184,0
64,428299,5094790,0.349696334,0
65,428077,5093000,0.416318569,1
66,428222,5094120,0.956402169,0
67,428273,5094500,0.642635182,1
68,428210,5093180,0.792720457,0
69,428406,5094720,0.586577234,0
70,427777,5092330,0.079648601,0
71,427962,5092470,0.299349924,0
72,427895,5093140,0.877584271,1
73,428382,5094560,0.669589594,0
74,427641,5091990,0.404916359,0
75,427997,5093180,0.334472488,0
76,428224,5094250,0.404729328,0
77,428180,5094210,0.717586268,1
78,428131,5093480,0.350455479,0
